2020-06-21 17:38:27.132 INFO  --- [http-nio-8888-exec-4] com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
2020-06-21 17:38:27.152 INFO  --- [http-nio-8888-exec-4] com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
2020-06-21 17:49:51.722 INFO  --- [restartedMain] xyz.blog.PersonalBlogApplication - Starting PersonalBlogApplication on admin with PID 17244 (G:\javaProject\personal_blog\target\classes started by Machenike in G:\javaProject\personal_blog)
2020-06-21 17:49:51.724 INFO  --- [restartedMain] xyz.blog.PersonalBlogApplication - The following profiles are active: dev
2020-06-21 17:49:51.815 INFO  --- [restartedMain] o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-06-21 17:49:51.816 INFO  --- [restartedMain] o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-06-21 17:49:52.874 INFO  --- [restartedMain] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$e4a26b83] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-06-21 17:49:53.211 INFO  --- [restartedMain] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2020-06-21 17:49:53.234 INFO  --- [restartedMain] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2020-06-21 17:49:53.241 INFO  --- [restartedMain] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-06-21 17:49:53.241 INFO  --- [restartedMain] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.16]
